<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	18:24:00	122030	122030	121970	122005	1395	14247	5
2024.06.04	09:00:00	121720	121875	121575	121850	90664	254076	5
2024.06.04	09:03:00	121845	121850	121630	121670	45829	138821	5
2024.06.04	09:06:00	121670	121735	121605	121715	31753	96231	5
2024.06.04	09:09:00	121720	121745	121665	121690	22904	65970	5
2024.06.04	09:12:00	121690	121930	121690	121930	54618	176079	5
2024.06.04	09:15:00	121930	122055	121920	122035	53744	188158	5
2024.06.04	09:18:00	122030	122160	122000	122105	48525	170207	5
2024.06.04	09:21:00	122100	122115	122015	122050	31486	106886	5
2024.06.04	09:24:00	122045	122150	122040	122120	27537	93114	5
2024.06.04	09:27:00	122120	122145	122045	122060	28739	99727	5
2024.06.04	09:30:00	122055	122075	121990	122055	35803	114578	5
2024.06.04	09:33:00	122055	122125	122035	122090	28961	94051	5
2024.06.04	09:36:00	122085	122095	122025	122030	17108	57580	5
2024.06.04	09:39:00	122035	122065	121970	122030	32911	104604	5
2024.06.04	09:42:00	122030	122055	121955	121975	24862	79483	5
2024.06.04	09:45:00	121970	122085	121955	122070	36768	122419	5
2024.06.04	09:48:00	122070	122185	122060	122130	46498	147656	5
2024.06.04	09:51:00	122130	122145	122035	122060	31727	104723	5
2024.06.04	09:54:00	122060	122080	121985	122015	25138	81692	5
2024.06.04	09:57:00	122015	122015	121895	121960	44729	147136	5
2024.06.04	10:00:00	121960	122080	121850	121900	85254	271485	5
2024.06.04	10:03:00	121900	121940	121765	121840	59955	196117	5
2024.06.04	10:06:00	121840	121910	121750	121790	56503	196634	5
2024.06.04	10:09:00	121785	121850	121750	121760	36166	119631	5
2024.06.04	10:12:00	121760	121800	121645	121650	60052	212889	5
2024.06.04	10:15:00	121650	121650	121510	121510	81556	290331	5
2024.06.04	10:18:00	121515	121540	121365	121480	72747	270887	5
2024.06.04	10:21:00	121485	121515	121355	121465	52988	186644	5
2024.06.04	10:24:00	121465	121470	121370	121395	32540	117463	5
2024.06.04	10:27:00	121395	121415	121240	121290	62416	240643	5
2024.06.04	10:30:00	121290	121315	121205	121295	53617	201966	5
2024.06.04	10:33:00	121290	121315	121230	121300	27929	93390	5
2024.06.04	10:36:00	121305	121390	121170	121265	75846	263636	5
2024.06.04	10:39:00	121265	121335	121210	121290	37324	125298	5
2024.06.04	10:42:00	121290	121320	121225	121290	28743	96312	5
2024.06.04	10:45:00	121290	121470	121255	121460	57896	197813	5
2024.06.04	10:48:00	121460	121625	121425	121520	54460	195820	5
2024.06.04	10:51:00	121515	121545	121430	121510	47430	160527	5
2024.06.04	10:54:00	121515	121550	121340	121360	44610	158456	5
2024.06.04	10:57:00	121360	121550	121350	121525	33056	111660	5
2024.06.04	11:00:00	121520	121780	121505	121570	94538	315858	5
2024.06.04	11:03:00	121565	121640	121365	121370	72364	243941	5
2024.06.04	11:06:00	121365	121440	121290	121360	57126	194898	5
2024.06.04	11:09:00	121365	121410	121280	121285	42222	145186	5
2024.06.04	11:12:00	121285	121310	121155	121275	72279	262606	5
2024.06.04	11:15:00	121275	121410	121235	121300	63907	221477	5
2024.06.04	11:18:00	121300	121315	121200	121205	50073	179308	5
2024.06.04	11:21:00	121205	121260	121120	121175	50065	190887	5
2024.06.04	11:24:00	121175	121310	121170	121300	38671	139884	5
2024.06.04	11:27:00	121300	121385	121255	121340	40407	146163	5
2024.06.04	11:30:00	121335	121460	121325	121375	47367	187008	5
2024.06.04	11:33:00	121375	121400	121260	121270	38032	138877	5
2024.06.04	11:36:00	121265	121330	121215	121315	41044	151444	5
2024.06.04	11:39:00	121320	121440	121315	121435	39121	141587	5
2024.06.04	11:42:00	121435	121485	121400	121420	30674	103106	5
2024.06.04	11:45:00	121420	121495	121390	121450	25564	90614	5
2024.06.04	11:48:00	121450	121475	121350	121445	33360	118675	5
2024.06.04	11:51:00	121445	121525	121405	121460	34387	127670	5
2024.06.04	11:54:00	121460	121575	121460	121540	32652	120862	5
2024.06.04	11:57:00	121540	121570	121425	121450	35194	140449	5
2024.06.04	12:00:00	121450	121515	121430	121470	26966	104320	5
2024.06.04	12:03:00	121465	121520	121430	121455	18397	69214	5
2024.06.04	12:06:00	121455	121475	121390	121440	30764	118758	5
2024.06.04	12:09:00	121440	121465	121390	121425	16329	59209	5
2024.06.04	12:12:00	121430	121535	121405	121535	23364	90871	5
2024.06.04	12:15:00	121535	121685	121525	121675	44965	185764	5
2024.06.04	12:18:00	121680	121755	121630	121740	35882	154325	5
2024.06.04	12:21:00	121735	121825	121690	121735	49016	204535	5
2024.06.04	12:24:00	121730	121755	121680	121725	20593	78036	5
2024.06.04	12:27:00	121725	121745	121650	121685	18513	69317	5
2024.06.04	12:30:00	121685	121720	121650	121655	15917	60018	5
2024.06.04	12:33:00	121660	121660	121575	121605	30119	120365	5
2024.06.04	12:36:00	121600	121720	121590	121720	22884	89466	5
2024.06.04	12:39:00	121720	121760	121625	121640	33415	132356	5
2024.06.04	12:42:00	121640	121695	121605	121625	17510	67034	5
2024.06.04	12:45:00	121620	121650	121590	121605	15045	58080	5
2024.06.04	12:48:00	121600	121685	121565	121655	25496	96629	5
2024.06.04	12:51:00	121660	121700	121650	121685	11695	41234	5
2024.06.04	12:54:00	121690	121710	121595	121605	17072	63442	5
2024.06.04	12:57:00	121600	121610	121490	121505	34500	133836	5
2024.06.04	13:00:00	121505	121585	121485	121515	29341	103399	5
2024.06.04	13:03:00	121515	121580	121475	121475	18510	69323	5
2024.06.04	13:06:00	121480	121530	121445	121505	22275	80286	5
2024.06.04	13:09:00	121510	121580	121485	121575	14141	52585	5
2024.06.04	13:12:00	121580	121695	121575	121650	33940	129959	5
2024.06.04	13:15:00	121645	121685	121625	121660	14945	57571	5
2024.06.04	13:18:00	121660	121750	121605	121740	32014	124348	5
2024.06.04	13:21:00	121745	121755	121665	121670	23806	97715	5
2024.06.04	13:24:00	121670	121695	121605	121625	23979	92798	5
2024.06.04	13:27:00	121630	121690	121560	121675	25712	100860	5
2024.06.04	13:30:00	121670	121685	121610	121635	14264	55458	5
2024.06.04	13:33:00	121635	121655	121560	121575	15560	57915	5
2024.06.04	13:36:00	121575	121635	121550	121590	16369	60038	5
2024.06.04	13:39:00	121585	121675	121580	121630	13961	54245	5
2024.06.04	13:42:00	121630	121675	121590	121660	13808	54331	5
2024.06.04	13:45:00	121660	121730	121655	121660	21785	87558	5
2024.06.04	13:48:00	121665	121725	121660	121675	12756	47913	5
2024.06.04	13:51:00	121675	121695	121630	121685	14699	58399	5
2024.06.04	13:54:00	121685	121745	121675	121735	15493	65028	5
2024.06.04	13:57:00	121735	121805	121735	121795	22899	88443	5
2024.06.04	14:00:00	121795	121840	121730	121740	26933	103219	5
2024.06.04	14:03:00	121735	121810	121735	121785	13236	48738	5
2024.06.04	14:06:00	121785	121790	121710	121730	18884	68699	5
2024.06.04	14:09:00	121735	121735	121660	121720	21964	83331	5
2024.06.04	14:12:00	121720	121730	121675	121685	11211	40543	5
2024.06.04	14:15:00	121685	121705	121645	121695	14868	55758	5
2024.06.04	14:18:00	121700	121735	121670	121695	14069	54887	5
2024.06.04	14:21:00	121690	121745	121680	121690	10661	39682	5
2024.06.04	14:24:00	121690	121720	121670	121680	9469	36890	5
2024.06.04	14:27:00	121680	121785	121670	121785	19522	72132	5
2024.06.04	14:30:00	121785	121820	121760	121765	21055	81687	5
2024.06.04	14:33:00	121760	121815	121735	121775	19125	74635	5
2024.06.04	14:36:00	121780	121820	121730	121810	13499	49775	5
2024.06.04	14:39:00	121810	121950	121805	121945	40109	171227	5
2024.06.04	14:42:00	121940	121980	121890	121895	26414	115174	5
2024.06.04	14:45:00	121895	121975	121860	121930	23529	93252	5
2024.06.04	14:48:00	121930	121950	121870	121910	16686	63101	5
